iter	Passed	Remaining
0	48	48650
1	49	24712
2	50	16697
3	50	12688
4	51	10288
5	52	8688
6	53	7537
7	53	6678
8	54	6011
9	55	5452
10	55	4982
11	55	4594
12	56	4265
13	56	3983
14	56	3736
15	57	3522
16	57	3331
17	57	3163
18	58	3010
19	58	2875
20	59	2751
21	59	2640
22	59	2537
23	60	2443
24	60	2356
25	60	2276
26	61	2202
27	61	2134
28	61	2070
29	62	2011
30	62	1955
31	62	1902
32	63	1852
33	63	1806
34	63	1762
35	64	1720
36	64	1681
37	64	1644
38	65	1609
39	65	1575
40	65	1542
41	66	1512
42	66	1482
43	66	1454
44	67	1428
45	67	1402
46	67	1377
47	68	1354
48	68	1331
49	68	1310
50	69	1288
51	69	1268
52	69	1249
53	70	1230
54	70	1212
55	70	1195
56	71	1177
57	71	1161
58	71	1145
59	72	1130
60	72	1115
61	72	1101
62	73	1089
63	73	1078
64	74	1065
65	74	1054
66	74	1042
67	75	1028
68	75	1017
69	75	1005
70	76	994
71	76	983
72	76	973
73	76	963
74	77	953
75	77	943
76	77	934
77	78	925
78	78	916
79	78	907
80	79	898
81	79	890
82	79	882
83	80	874
84	80	865
85	80	857
86	80	848
87	81	841
88	81	834
89	81	827
90	82	820
91	82	813
92	82	806
93	83	800
94	83	793
95	83	787
96	83	781
97	84	775
98	84	769
99	84	763
100	85	758
101	85	751
102	85	746
103	85	740
104	86	735
105	86	730
106	86	725
107	87	720
108	87	715
109	87	710
110	88	705
111	88	701
112	88	696
113	89	691
114	89	687
115	89	682
116	89	678
117	90	674
118	90	669
119	90	665
120	91	661
121	91	657
122	91	652
123	91	648
124	92	644
125	92	640
126	92	636
127	92	632
128	93	629
129	93	625
130	93	622
131	94	618
132	94	615
133	94	612
134	95	610
135	95	607
136	95	604
137	96	600
138	96	597
139	96	593
140	97	591
141	97	587
142	97	584
143	97	581
144	98	579
145	98	576
146	98	573
147	99	570
148	99	568
149	99	565
150	100	562
151	100	559
152	100	557
153	100	554
154	101	552
155	101	549
156	101	546
157	102	544
158	102	541
159	102	539
160	103	537
161	103	534
162	103	532
163	103	529
164	104	527
165	104	525
166	104	523
167	105	520
168	105	518
169	105	516
170	106	514
171	106	512
172	106	510
173	107	508
174	107	506
175	107	504
176	108	502
177	108	500
178	108	498
179	108	496
180	109	493
181	109	491
182	109	489
183	109	487
184	110	485
185	110	483
186	110	482
187	111	480
188	111	478
189	111	476
190	112	474
191	112	472
192	112	470
193	112	469
194	113	467
195	113	465
196	113	464
197	114	462
198	114	460
199	114	459
200	115	457
201	115	455
202	115	454
203	115	452
204	116	450
205	116	449
206	116	447
207	117	446
208	117	444
209	117	442
210	118	441
211	118	439
212	118	438
213	118	436
214	119	435
215	119	433
216	119	432
217	120	430
218	120	429
219	120	427
220	120	426
221	121	425
222	121	423
223	121	422
224	122	420
225	122	419
226	122	418
227	123	416
228	123	415
229	123	414
230	124	413
231	124	412
232	124	410
233	125	409
234	125	408
235	125	407
236	126	405
237	126	404
238	126	403
239	126	402
240	127	400
241	127	399
242	127	398
243	128	397
244	128	395
245	128	394
246	129	393
247	129	392
248	129	391
