iter	Passed	Remaining
0	50	50335
1	51	25501
2	51	17176
3	52	13009
4	52	10496
5	53	8829
6	53	7634
7	55	6832
8	56	6169
9	56	5593
10	56	5116
11	57	4720
12	57	4381
13	58	4092
14	58	3843
15	58	3628
16	59	3441
17	60	3294
18	60	3131
19	60	2988
20	61	2856
21	61	2735
22	61	2624
23	62	2522
24	62	2428
25	62	2340
26	62	2260
27	62	2185
28	63	2116
29	63	2051
30	63	1990
31	63	1933
32	64	1879
33	64	1830
34	64	1783
35	64	1739
36	65	1697
37	65	1658
38	65	1621
39	66	1584
40	66	1550
41	66	1517
42	66	1486
43	67	1457
44	67	1428
45	67	1402
46	67	1376
47	68	1351
48	68	1326
49	68	1304
50	68	1282
51	69	1260
52	69	1239
53	70	1230
54	70	1212
55	70	1194
56	71	1176
57	71	1158
58	71	1142
59	71	1125
60	72	1110
61	72	1094
62	72	1079
63	72	1065
64	73	1051
65	73	1037
66	73	1024
67	73	1011
68	73	998
69	74	986
70	74	974
71	74	962
72	74	950
73	75	939
74	77	950
75	77	942
76	77	932
77	78	923
78	78	916
79	79	908
80	79	899
81	79	890
82	79	880
83	79	871
84	80	863
85	80	855
86	80	847
87	80	839
88	81	831
89	81	823
90	81	816
91	81	808
92	82	801
93	82	794
94	82	787
95	82	780
96	83	773
97	83	766
98	83	760
99	83	754
100	84	747
101	84	741
102	84	735
103	84	729
104	84	723
105	85	718
106	85	712
107	85	706
108	85	701
109	86	696
110	86	691
111	86	686
112	86	681
113	86	676
114	87	671
115	87	668
116	87	662
117	88	658
118	88	653
119	88	649
120	88	645
121	88	640
122	89	636
123	89	631
124	89	627
125	89	623
126	90	618
127	90	614
128	90	611
129	90	607
130	91	604
131	91	603
132	92	599
133	92	596
134	92	593
135	93	592
136	93	590
137	93	586
138	94	583
139	94	580
140	94	576
141	94	572
142	95	569
143	95	566
144	95	563
145	95	560
146	96	557
147	96	554
148	96	551
149	96	548
150	97	545
151	97	543
152	97	540
153	97	537
154	98	534
155	98	531
156	98	528
157	98	526
158	98	523
159	99	521
160	99	518
161	99	515
162	99	512
163	100	510
164	100	507
165	100	505
166	100	502
167	101	500
168	101	497
169	101	495
170	101	493
171	101	490
172	102	488
173	102	486
174	102	484
175	102	481
176	103	479
177	103	477
178	103	475
179	103	473
180	104	471
181	104	469
182	104	467
183	105	466
184	105	464
185	105	462
186	105	460
187	106	458
188	106	456
189	106	454
190	107	454
191	112	471
192	112	471
193	113	471
194	113	470
195	114	468
196	114	467
197	115	468
198	116	469
199	117	471
200	118	472
201	119	473
202	121	475
203	121	474
204	122	473
205	122	473
206	123	472
207	123	471
208	124	470
209	124	469
210	125	468
211	125	467
212	126	466
213	126	465
214	127	464
215	127	463
216	128	462
217	128	461
218	129	460
219	129	459
220	130	458
221	130	457
222	130	456
223	131	455
224	131	454
225	132	452
226	132	451
227	133	450
228	133	449
229	133	448
230	134	447
231	134	446
232	135	445
233	135	443
234	135	442
235	136	440
236	136	438
237	136	437
238	136	435
239	136	433
240	137	432
241	137	430
242	137	429
243	138	427
244	138	426
245	138	425
246	139	423
247	139	422
248	139	420
249	139	419
250	140	417
251	140	416
252	140	414
253	140	413
254	140	411
255	141	410
